"Departamento","Provincia","todaSemana","NoTodaSemana"
"Apurímac","Abancay",28019,2583
"Huancavelica","Acobamba",7308,1914
"Cusco","Acomayo",5593,472
"Áncash","Aija",1392,111
"Loreto","Alto Amazonas",10980,3316
"Huánuco","Ambo",8574,2440
"Apurímac","Andahuaylas",33067,4373
"Huancavelica","Angaraes",9714,1573
"Cusco","Anta",11036,2610
"Apurímac","Antabamba",2875,201
"Áncash","Antonio Raymondi",2890,601
"Arequipa","Arequipa",237591,30898
"La Libertad","Ascope",21007,5950
"Áncash","Asunción",1909,181
"Ucayali","Atalaya",4492,850
"Piura","Ayabaca",14367,2168
"Apurímac","Aymaraes",6586,756
"Puno","Azángaro",13922,1878
"Amazonas","Bagua",11073,3541
"Lima","Barranca",30055,4983
"San Martín","Bellavista",4974,3503
"La Libertad","Bolívar",2513,329
"Áncash","Bolognesi",4939,583
"Amazonas","Bongara",5747,534
"Cajamarca","Cajabamba",14382,2358
"Cajamarca","Cajamarca",68082,9766
"Lima","Cajatambo",1432,126
"Cusco","Calca",13211,1469
"Callao","Callao",217279,14778
"Arequipa","Camaná",10178,4208
"Cusco","Canas",5796,509
"Cusco","Canchis",22298,1635
"Tacna","Candarave",1038,112
"Lima","Cañete",39105,9534
"Ayacucho","Cangallo",8191,704
"Lima","Canta",2534,577
"Puno","Carabaya",9213,2354
"Arequipa","Caravelí",4191,3523
"Áncash","Carhuaz",10356,1071
"Áncash","Carlos Fermín Fitzcarrald",3529,1007
"Áncash","Casma",8865,2182
"Arequipa","Castilla",7781,932
"Huancavelica","Castrovirreyna",2978,247
"Arequipa","Caylloma",17948,1808
"Cajamarca","Celendín",14656,2301
"Amazonas","Chachapoyas",11460,990
"Junín","Chanchamayo",26193,2510
"La Libertad","Chepén",16259,1446
"Lambayeque","Chiclayo",166996,11009
"Ica","Chincha",27560,21353
"Apurímac","Chincheros",10815,1567
"Cajamarca","Chota",22373,8137
"Puno","Chucuito",15426,3009
"Cusco","Chumbivilcas",11195,3650
"Junín","Chupaca",9672,2008
"Huancavelica","Churcampa",6634,1008
"Junín","Concepción",11416,1412
"Arequipa","Condesuyos",2532,333
"Amazonas","Condorcanqui",2680,497
"Tumbes","Contralmirante Villar",573,3903
"Cajamarca","Contumazá",4947,1543
"Ucayali","Coronel Portillo",55372,3495
"Áncash","Corongo",1504,118
"Apurímac","Cotabambas",8756,2896
"Cusco","Cusco",87735,13808
"Cajamarca","Cutervo",20668,4939
"Pasco","Daniel Alcides Carrión",5060,1466
"Loreto","Datem del Marañón",1240,180
"Huánuco","Dos de Mayo",5944,866
"Puno","El Collao",7353,962
"San Martín","El Dorado",5898,1379
"Cusco","Espinar",10413,1719
"Lambayeque","Ferreñafe",16565,1639
"Moquegua","General Sánchez Cerro",2074,399
"La Libertad","Gran Chimú",2450,1490
"Apurímac","Grau",4978,442
"Huánuco","Huacaybamba",2749,569
"Cajamarca","Hualgayoc",14244,3947
"San Martín","Huallaga",5932,139
"Huánuco","Huamalíes",9124,1465
"Ayacucho","Huamanga",55337,8623
"Ayacucho","Huanca Sancos",2118,413
"Piura","Huancabamba",17533,2444
"Puno","Huancané",10053,2174
"Huancavelica","Huancavelica",24594,2650
"Junín","Huancayo",106678,21587
"Ayacucho","Huanta",18731,2725
"Huánuco","Huánuco",45691,8389
"Lima","Huaral",32694,5099
"Áncash","Huaraz",35182,4067
"Áncash","Huari",11735,2664
"Áncash","Huarmey",5952,1068
"Lima","Huarochirí",10877,1721
"Lima","Huaura",45425,5979
"Áncash","Huaylas",10890,800
"Huancavelica","Huaytará",3280,591
"Ica","Ica",65173,26072
"Moquegua","Ilo",18967,3060
"Arequipa","Islay",12124,1659
"Cajamarca","Jaén",34940,4571
"Junín","Jauja",17886,2878
"Tacna","Jorge Basadre",2163,522
"La Libertad","Julcán",3436,2010
"Junín","Junín",5621,367
"Cusco","La Convención",27328,2228
"Ayacucho","La Mar",15130,2710
"Arequipa","La Unión",3011,165
"San Martín","Lamas",13814,2019
"Lambayeque","Lambayeque",46975,8449
"Puno","Lampa",5712,665
"Huánuco","Lauricocha",2542,578
"Huánuco","Leoncio Prado",17203,3031
"Lima","Lima",1841545,151450
"Loreto","Loreto",2995,642
"Ayacucho","Lucanas",12290,1277
"Amazonas","Luya",9724,1657
"Madre de Dios","Manu",1876,1221
"Huánuco","Marañón",3835,665
"San Martín","Mariscal Cáceres",11069,1040
"Áncash","Mariscal Luzuriaga",2865,573
"Moquegua","Mariscal Nieto",23579,1697
"Loreto","Mariscal Ramón Castilla",1509,1014
"Loreto","Maynas",65243,8539
"Puno","Melgar",12320,1396
"Puno","Moho",6546,944
"Piura","Morropón",28184,6214
"San Martín","Moyobamba",25088,2241
"Ica","Nasca",11265,1751
"Áncash","Ocros",1440,258
"La Libertad","Otuzco",14717,2123
"Pasco","Oxapampa",11211,1333
"Lima","Oyón",3908,291
"La Libertad","Pacasmayo",18300,6532
"Huánuco","Pachitea",5856,1016
"Ucayali","Padre Abad",7959,2055
"Piura","Paita",18603,6737
"Áncash","Pallasca",4739,667
"Ica","Palpa",2103,1528
"Ayacucho","Parinacochas",5105,1502
"Cusco","Paruro",6069,1011
"Pasco","Pasco",13556,11936
"La Libertad","Pataz",11394,2970
"Ayacucho","Páucar del Sara Sara",2663,191
"Cusco","Paucartambo",7529,1015
"San Martín","Picota",5415,2760
"Ica","Pisco",25689,10975
"Piura","Piura",120457,33114
"Áncash","Pomabamba",4957,999
"Huánuco","Puerto Inca",1902,326
"Puno","Puno",37618,7655
"Ucayali","Purús",26,0
"Loreto","Putumayo",25,68
"Cusco","Quispicanchi",17544,2456
"Áncash","Recuay",3393,481
"Loreto","Requena",2005,766
"San Martín","Rioja",24456,3363
"Amazonas","Rodríguez de Mendoza",5791,897
"Puno","San Antonio de Putina",4000,879
"Cajamarca","San Ignacio",23739,4461
"Cajamarca","San Marcos",9718,1763
"San Martín","San Martín",40270,4052
"Cajamarca","San Miguel",10006,923
"Cajamarca","San Pablo",4457,727
"Puno","San Román",41410,5276
"La Libertad","Sánchez Carrión",17770,8924
"Puno","Sandia",6189,1751
"Áncash","Santa",85401,8902
"Cajamarca","Santa Cruz",6815,1640
"La Libertad","Santiago de Chuco",6958,3105
"Junín","Satipo",21223,2884
"Piura","Sechura",4140,11722
"Áncash","Sihuas",5348,806
"Ayacucho","Sucre",2484,357
"Piura","Sullana",37130,25706
"Tacna","Tacna",76794,6252
"Madre de Dios","Tahuamanu",1556,390
"Piura","Talara",8579,24007
"Madre de Dios","Tambopata",23662,1234
"Tacna","Tarata",1359,221
"Junín","Tarma",18012,2435
"Huancavelica","Tayacaja",16945,2766
"San Martín","Tocache",9987,2200
"La Libertad","Trujillo",175831,32162
"Tumbes","Tumbes",24594,11105
"Loreto","Ucayali",3275,1869
"Cusco","Urubamba",11712,2546
"Amazonas","Utcubamba",13962,10818
"Ayacucho","Víctor Fajardo",5518,901
"Ayacucho","Vilcas Huamán",4222,1014
"La Libertad","Virú",11565,6517
"Huánuco","Yarowilca",3129,479
"Junín","Yauli",8301,1087
"Lima","Yauyos",4331,491
"Áncash","Yungay",11369,856
"Puno","Yunguyo",9346,2320
"Tumbes","Zarumilla",6140,4707
