"Code","Country.x","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","d7.x","d100","%poburb18","GS_2017","PPP_2018","StringencyIndex","d7.y","Indice","Fecha (Dia 7 de cada pais)","Pais","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Country.y","Fecha","Valor"
"ITA","Italy",0.8826,83.352,16.2469,10.24509,36141.42829,2,2020-02-06,2020-05-09,70.44,8.84025916457176,34520.085162403,19.44,2020-02-06,0.4138835,2020-02-06,"Italy","Sin apoyo",205.418372203713,11,"Italy",2020-05-09,218268
"JAM","Jamaica",0.7257,74.368,13.1407323,9.796912678,7931.516349,2,2020-03-17,2020-06-18,55.67,5.98841682076454,5354.2368587703,59.26,2020-03-17,0.4967112,2020-03-17,"Jamaica","Sin apoyo",270.993074792244,12,"Jamaica",2020-06-18,638
"JOR","Jordan",0.7234,74.405,11.8767423,10.452,8267.805545,2,2020-03-09,2020-06-10,90.98,8.11925083398819,4241.78878213854,11.11,2020-03-09,0.112718,2020-03-09,"Jordan","Sin apoyo",112.14249831043,18,"Jordan",2020-06-10,863
"JPN","Japan",0.9147,84.47,15.23057,12.8,40799.0143,0,2020-01-28,2020-04-30,91.62,10.9359331429005,39159.4235633952,2.78,2020-01-28,1.675817,2020-01-28,"Japan","Sin apoyo",347.073458415624,3,"Japan",2020-04-30,14284
"KAZ","Kazakhstan",0.8172,73.236,15.26522,11.784,22167.69698,2,2020-03-19,2020-06-20,57.43,3.12536172568798,9812.60140498928,80.09,2020-03-19,0.0217204,2020-03-19,"Kazakhstan","Menos del 50% del sueldo",6.76982572137645,5,"Kazakhstan",2020-06-20,17225
"KEN","Kenya",0.5786,66.342,11.06424,6.564,3051.689885,2,2020-03-19,2020-06-20,27.03,4.80254329741001,1707.98680529003,59.26,2020-03-19,-0.4108523,2020-03-19,"Kenya","Sin apoyo",90.2994166637383,40,"Kenya",2020-06-20,4478
"KHM","Cambodia",0.5815,69.57,11.33676945,4.844,3597.396365,0,2020-02-02,2020-05-05,23.39,5.91884180903435,1512.12670972847,0,2020-02-02,-0.568605,2020-02-02,"Cambodia","Sin apoyo",92.0564128710628,0,"Cambodia",2020-05-05,122
"KWT","Kuwait",0.8084,75.398,13.7588,7.275667996,71164.21501,2,2020-03-01,2020-06-02,100,5.2913848310709,33994.3819171507,27.78,2020-03-01,-0.0878059,2020-03-01,"Kuwait","Sin apoyo",232.172390572391,1,"Kuwait",2020-06-02,28649
"LBN","Lebanon",0.7301,78.875,11.28587,8.7,11136.2495,1,2020-02-27,2020-05-30,88.59,8.19554403424263,8024.80327081387,8.33,2020-02-27,-0.6402023,2020-02-27,"Lebanon","Sin apoyo",669.494134897361,10,"Lebanon",2020-05-30,1191
"LBR","Liberia",0.4647,63.73,9.57967,4.668,1040.085099,1,2020-03-22,2020-06-23,51.15,8.15533772110939,677.322178545364,74.07,2020-03-22,-1.340831,2020-03-22,"Liberia","Sin apoyo",50.0309073920266,3,"Liberia",2020-06-23,652
"LBY","Libya",0.7076,72.724,12.789937,7.56,11684.73341,2,2020-03-30,2020-07-01,80.1,NA,7877.12225061884,90.74,2020-03-30,-1.847037,2020-03-30,"Libya","Sin apoyo",3.79563238119054,30,"Libya",2020-07-01,874
"LKA","Sri Lanka",0.7801,76.812,13.96532,11.05175,11610.90818,1,2020-02-02,2020-05-05,18.48,3.81142050027847,4080.56712469552,8.33,2020-02-02,-0.2353793,2020-02-02,"Sri Lanka","Sin apoyo",345.558922022006,4,"Sri Lanka",2020-05-05,771
"LSO","Lesotho",0.518,53.705,10.73776,6.348,3243.839094,2,2020-05-19,2020-08-20,28.15,8.76315832138062,1221.88376312516,62.04,2020-05-19,-0.8609057,2020-05-19,"Lesotho","Sin apoyo",69.437812911726,28,"Lesotho",2020-08-20,996
"LTU","Lithuania",0.8693,75.737,16.49953,12.96103366,29775.26288,2,2020-03-05,2020-06-06,67.68,6.45756423473358,19080.6173717553,11.11,2020-03-05,1.072398,2020-03-05,"Lithuania","Sin apoyo",44.7230757742448,7,"Lithuania",2020-06-06,1705
"LUX","Luxembourg",0.9087,82.102,14.22752,12.19580174,65543.05171,2,2020-03-06,2020-06-07,90.98,5.4810743778944,116654.26106674,11.11,2020-03-06,1.778221,2020-03-06,"Luxembourg","Sin apoyo",250.185185185185,6,"Luxembourg",2020-06-07,4039
"LVA","Latvia",0.8539,75.172,15.98269,12.82536903,26300.76872,1,2020-03-08,2020-06-09,68.14,5.95566183328629,17805.2803143817,8.33,2020-03-08,1.043452,2020-03-08,"Latvia","Sin apoyo",30.9934705693149,9,"Latvia",2020-06-09,1089
"MAR","Morocco",0.6764,76.453,13.0675557,5.514,7479.592067,1,2020-03-08,2020-06-09,62.45,5.24520017206669,3222.20063433213,5.56,2020-03-08,-0.2092959,2020-03-08,"Morocco","Sin apoyo",80.7285189334528,10,"Morocco",2020-06-09,8437
"MDG","Madagascar",0.5207,66.681,10.41317,6.1,1403.915973,2,2020-03-26,2020-06-27,37.19,5.50203807651997,527.501326141803,91.67,2020-03-26,-1.153121,2020-03-26,"Madagascar","Sin apoyo",45.1398556204881,2,"Madagascar",2020-06-27,2005
"MEX","Mexico",0.7674,74.992,14.29736,8.60085,17628.11729,0,2020-03-05,2020-06-06,80.16,5.51654137670994,9673.44367360619,2.78,2020-03-05,-0.153388,2020-03-05,"Mexico","Sin apoyo",64.9146264050001,3,"Mexico",2020-06-06,113619
"MLI","Mali",0.4272,58.893,7.60336,2.352954412,1965.385142,2,2020-03-31,2020-07-02,42.36,3.79398502409458,900.110164506815,72.22,2020-03-31,-1.004638,2020-03-31,"Mali","Sin apoyo",15.635015858186,8,"Mali",2020-07-02,2260
"MNG","Mongolia",0.7347,69.689,14.20655,10.17198276,10783.71204,2,2020-03-16,2020-06-17,68.44,4.00230102241039,4134.98719823511,57.41,2020-03-16,-0.2333477,2020-03-16,"Mongolia","Sin apoyo",2.04060866654651,8,"Mongolia",2020-06-17,201
"MOZ","Mozambique",0.446,60.163,9.74711,3.540898438,1153.697636,2,2020-03-28,2020-06-29,35.99,4.94119822978973,498.957220208652,47.22,2020-03-28,-0.8742813,2020-03-28,"Mozambique","Sin apoyo",37.508535313716,25,"Mozambique",2020-06-29,883
"MRT","Mauritania",0.5271,64.704,8.46557,4.614,3746.083654,2,2020-03-20,2020-06-21,53.67,4.40315157175064,1600.87646860561,57.41,2020-03-20,-0.7266325,2020-03-20,"Mauritania","Sin apoyo",4.27216357815077,10,"Mauritania",2020-06-21,2984
"MUS","Mauritius",0.7964,74.863,14.96984,9.43,22724.23479,0,2020-03-24,2020-06-25,40.79,5.71872070431709,11208.2273695738,71.3,2020-03-24,0.8760849,2020-03-24,"Mauritius","Menos del 50% del sueldo",623.30197044335,7,"Mauritius",2020-06-25,341
"MWI","Malawi",0.4854,63.798,10.95276,4.63,1159.120065,2,2020-04-08,2020-07-10,16.94,9.64823141694069,381.258987601084,56.48,2020-04-08,-0.7286705,2020-04-08,"Malawi","Sin apoyo",192.440761561307,20,"Malawi",2020-07-10,2069
"MYS","Malaysia",0.8042,75.997,13.46876,10.15999793,27226.67561,2,2020-01-31,2020-05-03,76.04,3.85939814150333,11373.2330025676,19.44,2020-01-31,1.075348,2020-01-31,"Malaysia","Sin apoyo",95.9628214883579,3,"Malaysia",2020-05-03,6298
"NAM","Namibia",0.645,63.373,12.63338796,6.94,9682.661774,2,2020-03-20,2020-06-21,50.03,8.55095684528351,5495.42883582824,50,2020-03-20,0.106442,2020-03-20,"Namibia","Sin apoyo",2.97374558175127,34,"Namibia",2020-06-21,55
"NER","Niger",0.3766,62.024,6.47145,2.029048967,912.0418982,2,2020-03-26,2020-06-27,16.43,7.73996263742447,571.526992228733,52.78,2020-03-26,-0.7660425,2020-03-26,"Niger","Sin apoyo",17.7176505881424,0,"Niger",2020-06-27,1062
"NGA","Nigeria",0.5341,54.332,9.746414,6.4619,5085.540258,2,2020-03-05,2020-06-06,50.34,3.75553853809834,2032.72970882575,11.11,2020-03-05,-1.022591,2020-03-05,"Nigeria","Sin apoyo",215.064988965381,17,"Nigeria",2020-06-06,12233
"NIC","Nicaragua",0.6511,74.275,12.20689607,6.796,4789.840116,1,2020-03-25,2020-06-26,58.52,8.64546522498131,2020.54702818624,8.33,2020-03-25,-0.8024699,2020-03-25,"Nicaragua","Sin apoyo",53.7270483629716,6,"Nicaragua",2020-06-26,2170
"NLD","Netherlands",0.9335,82.143,18.04483,12.1900128,50012.5936,0,2020-03-04,2020-06-05,91.49,10.1008348166943,53048.0962104394,0,2020-03-04,1.850466,2020-03-04,"Netherlands","Sin apoyo",511.475927574948,5,"Netherlands",2020-06-05,47358
"NOR","Norway",0.9537,82.271,18.06082,12.56681764,68058.61613,2,2020-03-03,2020-06-04,82.25,10.4463420808315,81734.4655736102,11.11,2020-03-03,1.887119,2020-03-03,"Norway","Sin apoyo",14.5482916341657,4,"Norway",2020-06-04,8504
"NPL","Nepal",0.5795,70.478,12.1952,4.856,2748.200382,2,2020-01-31,2020-05-03,19.74,5.55329509079456,1038.65164702443,13.89,2020-01-31,-0.9023383,2020-01-31,"Nepal","Sin apoyo",195.939107080572,3,"Nepal",2020-05-03,75
"NZL","New Zealand",0.9209,82.145,18.8376,12.678166,35107.50023,2,2020-03-05,2020-06-06,86.54,9.1700553894043,42949.9305849512,19.44,2020-03-05,1.670251,2020-03-05,"New Zealand","Sin apoyo",18.3851733697923,5,"New Zealand",2020-06-06,1504
"OMN","Oman",0.8338,77.633,14.6641,9.731845912,37039.23091,2,2020-03-01,2020-06-02,84.54,3.849071636796,16414.8880173692,19.44,2020-03-01,0.1865782,2020-03-01,"Oman","Sin apoyo",15.6041453957997,NA,"Oman",2020-06-02,12799
"PAK","Pakistan",0.5604,67.114,8.46498,5.158944258,5190.07941,2,2020-03-02,2020-06-03,36.67,2.89863366633654,1482.30566684338,28.7,2020-03-02,-0.6338443,2020-03-02,"Pakistan","Sin apoyo",275.289318700706,6,"Pakistan",2020-06-03,85264
"PAN","Panama",0.7951,78.329,12.88063,10.17,20454.87351,1,2020-03-16,2020-06-17,67.71,7.31949135661125,15592.573678922,48.15,2020-03-16,-0.019452,2020-03-16,"Panama","Sin apoyo",56.1860774818402,6,"Panama",2020-06-17,22597
"PER","Peru",0.7591,76.516,13.8474129,9.215395842,12322.65681,2,2020-03-12,2020-06-13,77.91,4.99515049159527,6941.23584763012,44.44,2020-03-12,-0.2454309,2020-03-12,"Peru","Sin apoyo",24.99160625,7,"Peru",2020-06-13,220749
"PHL","Philippines",0.7119,71.095,12.72245333,9.393091398,9539.697881,2,2020-02-05,2020-05-08,46.91,4.44640778005123,3252.09232412664,19.44,2020-02-05,0.0495094,2020-02-05,"Philippines","Sin apoyo",357.688305329175,6,"Philippines",2020-05-08,10463
"PNG","Papua New Guinea",0.5431,64.263,9.99646,4.62,3685.79897,1,2020-03-26,2020-06-27,13.17,2.46927607804537,2720.3852453824,74.07,2020-03-26,-0.6773402,2020-03-26,"Papua New Guinea","Sin apoyo",19.0043633794109,NA,"Papua New Guinea",2020-06-27,11
"POL","Poland",0.8718,78.544,16.4332,12.29398111,27625.79535,2,2020-03-10,2020-06-11,60.06,6.5419539809227,15460.6442805468,25,2020-03-10,0.6626508,2020-03-10,"Poland","Sin apoyo",124.023482151605,5,"Poland",2020-06-11,28201
"PRT","Portugal",0.8502,81.857,16.29655,9.190958665,27935.3848,2,2020-03-08,2020-06-09,65.21,8.96957442164421,23461.5718628115,11.11,2020-03-08,1.208909,2020-03-08,"Portugal","Sin apoyo",112.2619412173,9,"Portugal",2020-06-09,35306
"PRY","Paraguay",0.7243,74.131,12.68985207,8.450439127,11719.95898,1,2020-03-14,2020-06-15,61.59,6.65456876158714,5805.67561638869,50.93,2020-03-14,-0.5172144,2020-03-14,"Paraguay","Sin apoyo",17.5083589227284,6,"Paraguay",2020-06-15,1296
"QAT","Qatar",0.8484,80.1,12.17887,9.66734,110488.7358,1,2020-03-06,2020-06-07,99.14,2.60742865502834,68793.7844372614,13.89,2020-03-06,0.6312364,2020-03-06,"Qatar","Sin apoyo",239.593195521103,9,"Qatar",2020-06-07,68790
"ROU","Romania",0.8156,75.924,14.26345,10.97836,23905.77107,2,2020-03-03,2020-06-04,54,5.15788830816746,12408.5964891293,16.67,2020-03-03,-0.2534418,2020-03-03,"Romania","Sin apoyo",84.633801286509,5,"Romania",2020-06-04,19907
"RWA","Rwanda",0.536,68.7,11.16659,4.417150539,1958.611877,2,2020-03-20,2020-06-21,17.21,6.57159835100174,782.618140904879,42.59,2020-03-20,0.2068089,2020-03-20,"Rwanda","Sin apoyo",498.659870287799,3,"Rwanda",2020-06-21,728
"SAU","Saudi Arabia",0.857,74.998,16.9791,9.67145098,49338.40957,2,2020-03-08,2020-06-09,83.84,5.23025318980217,23338.9634581127,19.44,2020-03-08,0.3234982,2020-03-08,"Saudi Arabia","Sin apoyo",15.6766543082956,6,"Saudi Arabia",2020-06-09,108571
"SDN","Sudan",0.5075,65.095,7.73987,3.72,3961.615683,2,2020-03-19,2020-06-20,34.64,6.34180754423141,623.867252394076,56.48,2020-03-19,-1.619857,2020-03-19,"Sudan","Sin apoyo",NA,20,"Sudan",2020-06-20,8580
"SEN","Senegal",0.5138,67.665,8.97107,3.068934,3255.987639,0,2020-03-08,2020-06-09,47.19,4.13406379520893,1465.59100640191,0,2020-03-08,-0.2678156,2020-03-08,"Senegal","Sin apoyo",82.3474783150678,48,"Senegal",2020-06-09,4516
"SGP","Singapore",0.9348,83.458,16.32817,11.49649,83792.67432,2,2020-01-29,2020-05-01,100,4.44038286805153,66188.7793961798,19.44,2020-01-29,2.231474,2020-01-29,"Singapore","Sin apoyo",7952.9984184018,2,"Singapore",2020-05-01,17101
"SLE","Sierra Leone",0.4385,54.309,10.17593,3.6,1381.299109,1,2020-04-06,2020-07-08,42.05,13.4209275245667,533.991184258936,88.89,2020-04-06,-1.142948,2020-04-06,"Sierra Leone","Sin apoyo",105.987170961485,15,"Sierra Leone",2020-07-08,1584
"SLV","El Salvador",0.6667,73.096,12.03557,6.942757762,6973.458016,2,2020-03-25,2020-06-26,72.02,7.22756013274193,4067.65944881154,88.89,2020-03-25,-0.4471425,2020-03-25,"El Salvador","Sin apoyo",309.881467181467,7,"El Salvador",2020-06-26,5517
"SRB","Serbia",0.7993,75.849,14.76615,11.18071012,15217.69707,2,2020-03-12,2020-06-13,56.09,8.43395814299583,7246.19198607054,25,2020-03-12,0.1116198,2020-03-12,"Serbia","Sin apoyo",79.8376857992225,14,"Serbia",2020-06-13,12251
"SSD","South Sudan",0.4128,57.604,5.00038,4.84913,1455.229886,2,2020-04-11,2020-07-13,19.61,9.76099446415901,NA,73.15,2020-04-11,-2.449409,2020-04-11,"South Sudan","Sin apoyo",NA,NA,"South Sudan",2020-07-13,2148
"SUR","Suriname",0.7237,71.57,12.85875,9.125367134,11932.99266,2,2020-03-20,2020-06-21,66.06,6.2297698110342,6003.723065571,52.78,2020-03-20,-0.6553037,2020-03-20,"Suriname","Sin apoyo",3.69225,9,"Suriname",2020-06-21,314
"SVN","Slovenia",0.9016,81.172,17.42218,12.27337909,32143.04239,2,2020-03-11,2020-06-12,54.54,8.18701758980751,26054.5421049784,25,2020-03-11,1.125806,2020-03-11,"Slovenia","Sin apoyo",102.96366052404,7,"Slovenia",2020-06-12,1490
"SWE","Sweden",0.9366,82.654,18.83223,12.42604923,47955.44724,0,2020-02-07,2020-05-10,87.43,11.0187463462353,54589.0603860606,0,2020-02-07,1.830975,2020-02-07,"Sweden","Sin apoyo",24.9814981218237,7,"Sweden",2020-05-10,26846
"SYC","Seychelles",0.8014,73.333,15.45254,9.672806259,25076.87309,2,2020-03-20,2020-06-21,56.69,5.0067350268364,16390.824875738,34.26,2020-03-20,0.502284,2020-03-20,"Seychelles","Sin apoyo",210.352173913043,3,"Seychelles",2020-06-21,11
"TCD","Chad",0.4012,53.977,7.465364,2.409497071,1715.568235,2,2020-03-25,2020-06-26,23.06,4.48730140924454,726.149881109447,27.78,2020-03-25,-1.528847,2020-03-25,"Chad","Sin apoyo",12.2917336404066,NA,"Chad",2020-06-26,865
"TGO","Togo",0.5127,60.76,12.56833,4.949925584,1592.536702,0,2020-03-12,2020-06-13,41.7,6.19951225817204,678.95563806112,0,2020-03-12,-1.057791,2020-03-12,"Togo","Sin apoyo",145.046773303916,7,"Togo",2020-06-13,530
"THA","Thailand",0.7646,76.931,14.6502963,7.731400914,16128.54767,0,2020-01-28,2020-04-30,49.95,3.74601632356644,7295.47561612095,0,2020-01-28,0.3499596,2020-01-28,"Thailand","Sin apoyo",135.897206835131,1,"Thailand",2020-04-30,2954
"TJK","Tajikistan",0.656,70.879,11.40786,10.67167179,3482.378737,2,2020-05-06,2020-08-07,27.13,7.22881481051445,826.621530538704,48.15,2020-05-06,-1.097704,2020-05-06,"Tajikistan","Sin apoyo",65.5727141724908,2,"Tajikistan",2020-08-07,7706
"TUN","Tunisia",0.7392,76.505,15.10152,7.172257455,10676.96362,1,2020-03-10,2020-06-11,68.94,7.23245739936829,3438.78908914627,24.07,2020-03-10,-0.1052618,2020-03-10,"Tunisia","Sin apoyo",74.4413233779609,16,"Tunisia",2020-06-11,1087
"TUR","Turkey",0.8065,77.437,16.439128,7.667909126,24905.38066,2,2020-03-17,2020-06-18,75.14,4.21630293130875,9370.1763549731,52.78,2020-03-17,0.0060968,2020-03-17,"Turkey","Sin apoyo",106.960128893104,11,"Turkey",2020-06-18,184031
"UGA","Uganda",0.5282,62.973,11.24256,6.090251,1752.210989,2,2020-03-27,2020-06-28,23.77,6.18775598704815,767.097759575903,69.44,2020-03-27,-0.6060399,2020-03-27,"Uganda","Sin apoyo",213.061734490325,9,"Uganda",2020-06-28,859
"UKR","Ukraine",0.7497,71.953,15.07384705,11.34,7994.213212,2,2020-03-09,2020-06-10,69.35,6.99532032012939,3096.81740221352,11.11,2020-03-09,-0.4152199,2020-03-09,"Ukraine","Sin apoyo",77.0296708039151,9,"Ukraine",2020-06-10,29015
"URY","Uruguay",0.8078,77.77,16.34484,8.728716877,19434.85186,2,2020-03-19,2020-06-20,95.33,9.29621160030365,17277.9701101852,54.63,2020-03-19,0.5582148,2020-03-19,"Uruguay","Menos del 50% del sueldo",19.7080276539824,8,"Uruguay",2020-06-20,859
"YEM","Yemen",0.4627,66.096,8.66439,3.2,1433.295869,1,2020-04-16,2020-07-18,36.64,NA,968.159047582999,40.74,2020-04-16,-2.244354,2020-04-16,"Yemen","Sin apoyo",53.9778529083092,27,"Yemen",2020-07-18,1581
"ZAF","South Africa",0.7049,63.857,13.66788,10.24064634,11756.29842,2,2020-03-11,2020-06-12,66.36,8.11311826109886,6374.02819575944,13.89,2020-03-11,0.3403786,2020-03-11,"South Africa","Sin apoyo",47.6301197767684,28,"South Africa",2020-06-12,61927
"ZMB","Zambia",0.5915,63.51,12.06104,7.104178868,3581.886613,2,2020-03-24,2020-06-25,43.52,4.47034128010273,1556.33448154128,27.78,2020-03-24,-0.5592093,2020-03-24,"Zambia","Sin apoyo",23.3414789007116,15,"Zambia",2020-06-25,1497
"ZWE","Zimbabwe",0.5631,61.195,10.45108,8.342245697,2661.072065,1,2020-03-26,2020-06-27,32.21,6.63591623306274,1683.74057709465,56.48,2020-03-26,-1.19886,2020-03-26,"Zimbabwe","Sin apoyo",37.3245909267158,11,"Zimbabwe",2020-06-27,567
